Symbol	Species
PRKRA	9606
DDX3X	9606
DDX58	9606
MIR136	9606
IL1A	9606
IFIH1	9606
EFTUD2	9606
IRF3	9606
IL29	9606
TRAF6	9606
MAVS	9606
IKBKB	9606
RELA	9606
IFIT5	9606
CAMP	9606
CASP1	9606
IL1B	9606
TLR4	9606
TLR2	9606
PELI3	9606
MIR223	9606
COLEC12	9606
TLR3	9606
CLEC4E	9606
ITGB1	9606
IFNG	9606
DDX60L	9606
HDAC2	9606
NFKBIZ	9606
IL6	9606
TET2	9606
MARCH5	9606
ISG15	9606
IFNB1	9606
JMJD6	9606
PRMT1	9606
RORC	9606
IL23A	9606
IL2	9606
IL7R	9606
TMEM173	9606
TBK1	9606
NLRC5	9606
NLRP3	9606
C2	9606
C4B	9606
MIR485	9606
PLA2G2A	9606
IL22	9606
SKP2	9606
IFI27	9606
IFIT3	9606
MIR146A	9606
TRAF3	9606
HACE1	9606
NFKBIA	9606
TNFAIP3	9606
Il25	9606
TLR5	9606
CXCR1	9606
LGALS3	9606
LGALS1	9606
IL10	9606
STAT3	9606
MIR29A	9606
MX1	9606
C5	9606
CEACAM8	9606
C5AR1	9606
SYK	9606
IRF7	9606
AIP	9606
Ticam2	9606
DHX33	9606
RNASEL	9606
IL32	9606
ELAVL1	9606
CYLD	9606
MIR362	9606
CTSK	9606
CTSS	9606
MIR328	9606
DEFB103B	9606
DEFB103A	9606
DEFB4B	9606
DEFB4	9606
TLR7	9606
SPHK1	9606
FCN3	9606
Icosl	9606
Smpdl3b	9606
Ctnnb1	9606
Gsk3a	9606
GSK3B	9606
TLR8	9606
UBE2V2	9606
UBE2N	9606
UBE2W	9606
TRIM5	9606
OAS3	9606
OAS1	9606
Psen2	9606
Stmn1	9606
MAP3K7	9606
IRAK1	9606
MYD88	9606
PELI1	9606
TIFA	9606
IFRD1	9606
EGFR	9606
PDE12	9606
LYN	9606
MB21D1	9606
PQBP1	9606
TNF	9606
RNASE7	9606
AIM2	9606
IFI16	9606
MAPK8	9606
MAPK14	9606
TREM1	9606
PGLYRP1	9606
FPR2	9606
FPR1	9606
PPARG	9606
PPARGC1A	9606
MIR130A	9606
DR1	9606
CASP4	9606
PTX3	9606
S100A12	9606
CXCL14	9606
CAPRIN1	9606
G3BP1	9606
ULK1	9606
WFDC12	9606
HAVCR2	9606
HIF1A	9606
CHUK	9606
IL18	9606
CXCR4	9606
ZBTB16	9606
IL1RAPL1	9606
IL18R1	9606
IL1F7	9606
CLEC6A	9606
