pairs	tag	auc
['Rnaseh2b', 'Ifngr1']	1	0.8450000000000001
['Nfkb1', 'Lmo2']	1	0.9029499999999999
['Id1', 'Bcl11a']	-1	0.9279999999999999
['Igf1r', 'Cpa3']	-1	0.9457
['Twistnb', 'Hoxa9']	1	0.9577
['Egln3', 'Irf8']	-1	0.9663999999999999
['Ltb4r1', 'Zfp639']	-1	0.9736000000000001
['Ccl3', 'Gna12']	1	0.9797
['Ptprc', 'Trib1']	1	0.98595
['Ccl3', 'Egln3']	1	0.9901
['Tax1bp1', 'Twistnb']	-1	0.9919
['Ltb4r1', 'Cxcr4']	-1	0.9937
['Ltb4r1', 'Msi2']	-1	0.9950000000000001
['Gfi1', 'Abl1']	-1	0.9958
['Gfi1', 'Kdm5a']	-1	0.9967
['Lepr', 'Hoxa9']	1	0.99715
['Ccl3', 'Alox5']	1	0.99745
['Blk', 'Egln3']	1	0.99775
['Rag2', 'Pbx3']	1	0.9979
['Ccl3', 'Ctbp2']	1	0.9980500000000001
['Pml', 'Tnfrsf13c']	-1	0.9980500000000001
['Lmo2', 'Irf4']	-1	0.9980500000000001
['Mapk14', 'Tnfrsf13c']	-1	0.9980500000000001
['Pbx3', 'Tnfrsf13c']	-1	0.9980500000000001
['Bcl11a', 'Pbx3']	1	0.9980500000000001
['Chd7', 'Irf4']	-1	0.9980500000000001
['Ifngr1', 'Irf8']	-1	0.9980500000000001
['Id1', 'Tnfrsf13c']	-1	0.9980500000000001
['Id1', 'Irf4']	-1	0.9980500000000001
['Meis1', 'Tnfrsf13c']	-1	0.9980500000000001
['Cdkn1a', 'Tnfrsf13c']	-1	0.9980500000000001
['Cd28', 'Tnfrsf13c']	-1	0.9980500000000001
['Itga2b', 'Cd28']	1	0.9980500000000001
['Eps8', 'Pbx3']	1	0.9980500000000001
['Eps8', 'Cd28']	1	0.9980500000000001
['Il7r', 'Pbx3']	1	0.9980500000000001
['Il7r', 'Cd28']	1	0.9980500000000001
['Igf1r', 'Tnfrsf13c']	-1	0.9980500000000001
['Cpa3', 'Pbx3']	1	0.9980500000000001
['Igf1r', 'Eps8']	-1	0.9980500000000001
['Egln3', 'Tnfrsf13c']	-1	0.9980500000000001
['Egln3', 'Irf4']	-1	0.9980500000000001
['Egln3', 'Eps8']	-1	0.9980500000000001
['Pax5', 'Pbx3']	1	0.9980500000000001
['Igf1r', 'Itga2b']	-1	0.9980500000000001
['Gstt2', 'Rag2']	-1	0.9980500000000001
['Ifngr1', 'Rag2']	-1	0.9980500000000001
['Meis1', 'Irf8']	-1	0.9980500000000001
['Egln3', 'Socs1']	-1	0.9981
['Bcl11a', 'Jarid2']	1	0.9987999999999999
