tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
10090	Mus musculus	50518	0	live	a	A<y>, ASIP, ASP, As	nonagouti	agouti-signaling protein|agouti coat color protein|agouti signal protein|agouti switch protein|non-agouti	2 76.83 cM	2	NC_000068.7	154950599	155051012	plus	12		
10090	Mus musculus	19300	0	live	Abcd4	P69r, P70R, Pxmp1l	ATP-binding cassette, sub-family D (ALD), member 4	ATP-binding cassette sub-family D member 4|PMP69|PMP70-related protein|PXMP1-L|peroxisomal membrane protein 69|peroxisomal membrane protein, 70 kDa-related	12 39.3 cM	12	NC_000078.6	84601869	84617485	minus	19		
10090	Mus musculus	192663	0	live	Abcg4	6430517O04Rik	ATP binding cassette subfamily G member 4	ATP-binding cassette sub-family G member 4|ATP-binding cassette, sub-family G (WHITE), member 4	9 A5.2	9	NC_000075.6	44273188	44288656	minus	15		
10090	Mus musculus	11350	0	live	Abl1	AI325092, Abl, E430008G22Rik, c-Abl	c-abl oncogene 1, non-receptor tyrosine kinase	tyrosine-protein kinase ABL1|Abelson murine leukemia oncogene|Abelson tyrosine-protein kinase 1|abelson murine leukemia viral oncogene homolog 1|c-abl oncogene 1, receptor tyrosine kinase|c-abl protein, type I|c-abl protein, type II|c-abl protein, type III|p150|proto-oncogene c-Abl|proto-oncogene tyrosine-protein kinase ABL1|v-abl Abelson murine leukemia oncogene 1	2 B	2	NC_000068.7	31688244	31807093	plus	16		
10090	Mus musculus	11352	0	live	Abl2	AA536808, Abll, Arg	v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)	tyrosine-protein kinase ABL2|Abelson tyrosine-protein kinase 2|Abelson-related gene protein|abelson murine leukemia viral oncogene homolog 2|abl2|tyrosine kinase ARG|tyrosine-protein kinase ARG|v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)	1 67.71 cM	1	NC_000067.6	156558590	156649619	plus	14		
10090	Mus musculus	12778	0	live	Ackr3	AW541270, CXC-R7, CXCR-7, Cmkor1, Cxcr7, RDC-1, Rdc1	atypical chemokine receptor 3	atypical chemokine receptor 3|C-X-C chemokine receptor type 7|G-protein coupled receptor RDC1 homolog|chemokine (C-X-C motif) receptor 7|chemokine orphan receptor 1	1 45.28 cM	1	NC_000067.6	90203980	90215724	plus	3		
10090	Mus musculus	23792	0	live	Adam23	AW046396, MDC3	a disintegrin and metallopeptidase domain 23	disintegrin and metalloproteinase domain-containing protein 23|a disintegrin and metalloprotease domain 23|metalloproteinase-like, disintegrin-like, and cysteine-rich protein 3	1 32.31 cM	1	NC_000067.6	63445717	63596111	plus	27		
10090	Mus musculus	56417	0	live	Adar	AV2424511, Adar1p110, Adar1p150, DRADA, mZaADAR, Adar	adenosine deaminase, RNA-specific	double-stranded RNA-specific adenosine deaminase|RNA adenosine deaminase 1|RNA-specific adenosine deaminase p110 form|RNA-specific adenosine deaminase p150 form	3 F1	3	NC_000069.6	89714469	89753455	plus	16		
10090	Mus musculus	11541	0	live	Adora2b	A2BAR, A2BR, A2b, AA2BR, AI480866, AI605384, ARA2B	adenosine A2b receptor	adenosine receptor A2b|A2b, Rs	11 B2	11	NC_000077.6	62248984	62266452	plus	2		
10090	Mus musculus	17356	0	live	Afdn	5033403D15Rik, AF6, Af-6, Afadin, Gm314, I-afadin, Mllt4, S-afadin	afadin, adherens junction formation factor	afadin|myeloid/lymphoid or mixed lineage-leukemia translocation to 4 homolog|myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4|myeloid/lymphoid or mixed-lineage leukemia; translocated to, 4|protein Af-6	17 A1	17	NC_000083.6	13760391	13905798	plus	34		
10090	Mus musculus	17355	0	live	Aff1	9630032B01Rik, AW319193, Af4, Mllt2h, Rob	AF4/FMR2 family, member 1	AF4/FMR2 family member 1|homolog of human MLLT2 unidentified|myeloid/lymphoid or mixed-lineage leukemia translocated to 2 homolog|protein AF-4|proto-oncogene AF4|robotic	5 50.45 cM	5	NC_000071.6	103692362	103855322	plus	23		
10090	Mus musculus	213990	0	live	Agap3	AGAP-3, AV028425, Centg3, Crag, Crag., MRIP-1, cnt-g3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3|CRAM-associated GTPase|MR1-interacting protein|centaurin, gamma 3|spidin	5 A3	5	NC_000071.6	24452177	24502047	plus	21		
10090	Mus musculus	107242	0	live	AI837181	Bles03, N28173	expressed sequence AI837181	UPF0696 protein C11orf68 homolog|basophilic leukemia expressed protein|basophilic leukemia-expressed protein Bles03|protein WF-3	19 A	19	NC_000085.6	5425144	5427317	plus	2		
10090	Mus musculus	11628	0	live	Aicda	Aid, Arp2	activation-induced cytidine deaminase	single-stranded DNA cytosine deaminase|activation induced deaminase|cytidine aminohydrolase	6 F1	6	NC_000072.6	122553809	122564180	plus	5		
